"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Calla Chumpisuca Y.R.; Nomberto Bazán V.R.; Mendoza Palomino B.; Ortiz Aucapiña R.B.; Rimascca Rodríguez I.K.","Calla Chumpisuca, Yaneth Roxana (60338099000); Nomberto Bazán, Víctor Raúl (60337617100); Mendoza Palomino, Bertha (60338099100); Ortiz Aucapiña, Renzo Boris (60337268100); Rimascca Rodríguez, Ivonne Karin (60337854700)","60338099000; 60337617100; 60338099100; 60337268100; 60337854700","Attitudes toward artificial intelligence and their relationship to academic satisfaction: the mediating role of comfort in the educational use of AI; [Attitudes envers l’intelligence artificielle et leur relation avec la satisfaction scolaire: le rôle médiateur du confort dans son utilisation éducative]; [ACTITUDES HACIA LA INTELIGENCIA ARTIFICIAL Y SU RELACIÓN CON LA SATISFACCIÓN ACADÉMICA: EL ROL MEDIADOR DE LA COMODIDAD EN SU USO EDUCATIVO]","2025","Bordon. Revista de Pedagogia","77","4","","117","137","0","10.13042/Bordon.2025.112199","https://www.scopus.com/pages/publications/105027787308?origin=resultslist","Universidad Nacional José María Arguedas, Peru; Pontificia Universidad Católica del Perú, Peru; Universidad Nacional Micaela Bastidas de Apurímac, Peru","Calla Chumpisuca Y.R., Universidad Nacional José María Arguedas, Peru; Nomberto Bazán V.R., Pontificia Universidad Católica del Perú, Peru; Mendoza Palomino B., Universidad Nacional José María Arguedas, Peru; Ortiz Aucapiña R.B., Universidad Nacional José María Arguedas, Peru; Rimascca Rodríguez I.K., Universidad Nacional Micaela Bastidas de Apurímac, Peru","INTRODUCTION. The integration of artificial intelligence (AI) into higher education has become a highly relevant topic in recent years. This phenomenon is not only transforming how classes are taught but also redefining students’ academic experiences. This study aims to understand how students’ attitudes toward AI influence their academic satisfaction and comfort in using this technology. METHOD. The study was conducted with a sample of 169 undergraduate students (55.03% women, mean age = 28 years) in Peru. Adapted versions of the General Attitudes Toward Artificial Intelligence Scale, the Academic Satisfaction Scale, and the Comfort in Educational Use of AI Scale were used as instruments. Two mediation models were applied to examine the relationships between attitudes toward AI and the dependent variables. RESULTS. Statistical analyses revealed that both comfort in educational use and academic satisfaction partially mediate the relationships between attitudes toward AI and the dependent variables. This indicates that greater comfort in using AI tools can lead to higher academic satisfaction and vice versa. Additionally, a bidirectional relationship was observed between academic satisfaction and comfort in using AI. DISCUSSION. These findings suggest that to effectively implement AI in higher education, it is essential to consider how students’ attitudes affect their academic experience. This has significant implications for future educational strategies including continuing education, inclusive policies, and future research. © Sociedad Española de Pedagogía.","Artificial Intelligence; Mediation model; Student academic attitude; University students; Use of technology in education","","Y.R. Calla Chumpisuca; Universidad Nacional José María Arguedas, Peru; email: yrcalla@unajma.edu.pe","","Sociedad Espanola de Pedagogia","02105934","","","","Spanish","Bordon. Rev. Pedagog.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105027787308"
"Vázquez J.M.; Rondón G.R.; León D.O.","Vázquez, Jorge Mesa (57224584455); Rondón, Grettchen Rivera (59658109400); León, Darina Ortega (57489940200)","57224584455; 59658109400; 57489940200","Artificial intelligence in the teaching of law: a bibliometric and case study at the Faculty of law of the Universidad de Oriente de Cuba; [Intel·ligència artificial a l'ensenyament del dret: un estudi bibliomètric i de cas a la Facultat de dret de la Universitat d'Orient de Cuba]; [Inteligencia artificial en la enseñanza del derecho: un estudio bibliométrico y de caso en la Facultad de derecho de la Universidad de Oriente de Cuba]","2025","Revista de Educacion y Derecho","","2-Extraordinario","","460","492","0","10.1344/REYD2024.2-Extraordinario.49201","https://www.scopus.com/pages/publications/105036744608?origin=resultslist","Titular de Analítica de Datos, Facultad de Ingeniería en Telecomunicaciones y Biomédica de La Universidad de Oriente, Cuba; Profesora Titular de Metodología de la Investigación Jurídica y Filosofía del Derecho, Facultad de Derecho de La Universidad de Oriente, Cuba; Profesora Titular de Derecho Procesal Penal y Criminología, Facultad de Derecho de La Universidad de Oriente, Cuba","Vázquez J.M., Titular de Analítica de Datos, Facultad de Ingeniería en Telecomunicaciones y Biomédica de La Universidad de Oriente, Cuba; Rondón G.R., Profesora Titular de Metodología de la Investigación Jurídica y Filosofía del Derecho, Facultad de Derecho de La Universidad de Oriente, Cuba; León D.O., Profesora Titular de Derecho Procesal Penal y Criminología, Facultad de Derecho de La Universidad de Oriente, Cuba","The analysis of the current state and perspectives of the use of Artificial Intelligence (AI) occupies the spaces of debate between detractors and followers. Its application in Higher Education, and particularly in the training of professionals in the area of Legal Sciences, constitutes one of the main challenges for the formation of a professional with a broad profile, as it has been assumed by the Law career in Cuba. From these premises, this article aims to diagnose from a bibliometric study and a case study the current status and prospects of the use of Artificial Intelligence in the Faculty of Law of the University of Oriente de Cuba to provide an overview of the progress, challenges and opportunities offered by the implementation of AI technologies in the teaching of Law at the Faculty. The research shows that AI has demonstrated the potential for impact in Legal Sciences by assisting legal professionals in various tasks such as research, document drafting and case analysis. In addition, the application of AI in legal education offers opportunities to improve the efficiency and quality of training for future lawyers and jurists. However, it also raises important ethical and legal issues that need to be carefully addressed. © (2025), (Universitat de Barcelona). All rights reserved.","artificial intelligence; bibliometric study; Educació Superior, estudi bibliomètric; Educación Superior, estudio bibliométrico; ensenyament del dret; enseñanza del Derecho; higher education; law teaching; Palabras clave: inteligencia artificial; Paraules clau: intel·ligència artificial","","","","Universitat de Barcelona","2013584X","","","","English","Rev. Educ. Derecho.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105036744608"
"Sanabria-Z J.; Olivo P.G.","Sanabria-Z, Jorge (58663027800); Olivo, Pamela Geraldine (58866359100)","58663027800; 58866359100","AI platform model on 4IR megatrend challenges: complex thinking by active and transformational learning","2024","Interactive Technology and Smart Education","21","4","","571","587","13","10.1108/ITSE-07-2023-0145","https://www.scopus.com/pages/publications/85184196757?origin=resultslist","Institute for the Future of Education (IFE), Tecnologico de Monterrey, Guadalajara, Mexico","Sanabria-Z J., Institute for the Future of Education (IFE), Tecnologico de Monterrey, Guadalajara, Mexico; Olivo P.G., Institute for the Future of Education (IFE), Tecnologico de Monterrey, Guadalajara, Mexico","Purpose: The objective of this study is to propose a model for the implementation of a technological platform for participants to develop solutions to problems related to the Fourth Industrial Revolution (4IR) megatrends, and taking advantage of artificial intelligence (AI) to develop their complex thinking through co-creation work. Design/methodology/approach: The development of the model is based on a combination of participatory action research and user-centered design (UCD) methodologies, seeking to ensure that the platform is user-oriented and based on the experiences of the authors. The model itself is structured around the active and transformational learning (ATL) framework. Findings: This study highlights the importance of addressing 4IR megatrends in education to prepare students for a technology-driven world. The proposed model, based on ATL and supported by AI, integrates essential competencies for tackling challenges and generating innovative solutions. The integration of AI into the platform fosters personalized learning, collaboration and reflection and enhances creativity by offering new insights and tools, whereas UCD ensures alignment with user needs and expectations. Originality/value: This research presents an innovative educational model that combines ATL with AI to foster complex thinking and co-creation of solutions to problems related to 4IR megatrends. Integrating ATL ensures engagement with real-world problems and critical thinking while AI provides personalized content, tutoring, data analysis and creative support. The collaborative platform encourages diverse perspectives and collective intelligence, benefiting other researchers to better conceive learner-centered platforms promoting 21st-century skills and co-creation. © 2024, Jorge Sanabria-Z and Pamela Geraldine Olivo.","AI-assisted educative platform; Complex thinking; Education 4.0; Educational innovation; Fourth industrial revolution; Higher education; Megatrends and education","","P.G. Olivo; Institute for the Future of Education (IFE), Tecnologico de Monterrey, Guadalajara, Mexico; email: pamela.olivo@tec.mx","","Emerald Publishing","17415659","","","","English","Interact. Technol. Smart Educ.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85184196757"
"Muñoz Bonilla H.A.; Espinosa Rodríguez M.A.; Chaves Campo C.F.","Muñoz Bonilla, Hugo Alejandro (59124558800); Espinosa Rodríguez, Miguel Alejandro (60137894900); Chaves Campo, Carlos Felipe (60137766100)","59124558800; 60137894900; 60137766100","Symbolic Inculturation by Artificial Intelligence in Academic Organizational Culture; [Inculturación Simbólica por Inteligencia Artificial en la Cultura Organizacional Académica]","2025","REICE. Revista Iberoamericana Sobre Calidad, Eficacia y Cambio en Educacion","23","4","","","","1","10.15366/reice2025.23.4.005","https://www.scopus.com/pages/publications/105018599951?origin=resultslist","Corporación Universitaria Minuto de Dios - Uniminuto, Colombia; Fundación Universitaria Católica Lumen Gentium - Unicatólica, Colombia","Muñoz Bonilla H.A., Corporación Universitaria Minuto de Dios - Uniminuto, Colombia; Espinosa Rodríguez M.A., Corporación Universitaria Minuto de Dios - Uniminuto, Colombia; Chaves Campo C.F., Fundación Universitaria Católica Lumen Gentium - Unicatólica, Colombia","In the current digital era, the integration of artificial intelligence (AI) in the educational field represents a symbolic inculturation that redefines pedagogy and instructional organization. This study analyzes how the use of AI by professors and students in higher education institutions (HEIs) in Cali, Colombia, impacts the academic organizational culture (AOC). The methodology is grounded in a post-positivist paradigm with a correlational-descriptive approach, employing a quantitative method with a cross-sectional, non-experimental design. An incidental sample, reached with a validated ad hoc instrument (Pearson’s Rho .94; McDonald’s Omega .82), allows for descriptive and inferential statistical analysis. The results, analyzed through a structural equation modeling (SEM) framework, indicate that the subject's role is a discriminating factor in AI use, whereas gender identity is not. The use of ChatGPT and Google Lens is shown to be both prevalent and impactful on academic practices. The study highlights the need for clear policies on the use of AI in education and the importance of new educational frameworks that integrate it as a pedagogical tool. This research provides evidence on the complex relationship between AI and AOC, underscoring the necessity for adaptive pedagogical strategies within the educational context. © 2025 Universidad Autonoma de Madrid. All rights reserved.","Adaptation; Education; Learning; Pedagogical skill; Student","","H.A. Muñoz Bonilla; Corporación Universitaria Minuto de Dios - Uniminuto, Colombia; email: hmuozbon@uniminuto.edu.co","","Universidad Autonoma de Madrid","16964713","","","","Spanish","Revista Iberoam. Sobre Calidad Eficacia  Cambio  Edu.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-105018599951"
"Pizarro-Romero J.; Lovón M.","Pizarro-Romero, Javier (59536424100); Lovón, Marco (56239450200)","59536424100; 56239450200","The use of AI in classroom-based college writing courses: a case experience; [El uso de la IA en cursos de redacción e investigación universitaria en el aula: una experiencia de caso]","2025","Desde el Sur","17","1","e0015","","","0","10.21142/DES-1701-2025-0015","https://www.scopus.com/pages/publications/85217486955?origin=resultslist","Pontificia Universidad Católica del Perú, Lima, Peru","Pizarro-Romero J., Pontificia Universidad Católica del Perú, Lima, Peru; Lovón M., Pontificia Universidad Católica del Perú, Lima, Peru","Artificial intelligence (AI) is making inroads into academia, transforming the dynamics of higher education. This study aims to describe the integration of AI in college writing and research in the classroom. To this end, a case study was proposed where the use of AI tools was implemented in expository and argumentative writing courses, and a qualitative methodology was adopted to detail the planning and implementation phases. The results, obtained from a questionnaire applied to students at a particular Peruvian university, reveal positive perceptions towards the assistance of AI in improving their writing skills. The paper concludes that the incorporation of AI in university academic writing courses is feasible and beneficial for the development of communicative competencies. © 2025, Universidad Cientifica del Sur. All rights reserved.","argumentation; Artificial intelligence; higher education; research; writing","","J. Pizarro-Romero; Pontificia Universidad Católica del Perú, Lima, Peru; email: jpizarro@pucp.pe","","Universidad Cientifica del Sur","20762674","","","","Spanish","Desde. el. Sur.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85217486955"
"Garay-Rondero C.L.; Castillo-Paz A.; Gijón-Rivera C.; Domínguez-Ramírez G.; Rosales-Torres C.; Oliart-Ros A.","Garay-Rondero, Claudia Lizette (57208899886); Castillo-Paz, Alvaro (57460382400); Gijón-Rivera, Carlos (57209347953); Domínguez-Ramírez, Gerardo (57459594800); Rosales-Torres, Conrado (57209340646); Oliart-Ros, Alberto (57215671875)","57208899886; 57460382400; 57209347953; 57459594800; 57209340646; 57215671875","Competency-based assessment tools for engineering higher education: a case study on complex problem-solving","2024","Cogent Education","11","1","2392424","","","11","10.1080/2331186X.2024.2392424","https://www.scopus.com/pages/publications/85202967218?origin=resultslist","School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; Mechanical and Industrial Engineering Department, Universidad de las Américas Puebla, San Andrés Cholula, Mexico","Garay-Rondero C.L., School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico, Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; Castillo-Paz A., School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Gijón-Rivera C., School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Domínguez-Ramírez G., School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; Rosales-Torres C., Mechanical and Industrial Engineering Department, Universidad de las Américas Puebla, San Andrés Cholula, Mexico; Oliart-Ros A., School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico","Higher Education faces challenges in providing learning experiences and cultivating competencies in our modern environment. Academic discourse centres on tutoring automation, a complicated educational dilemma in the age of Machine Learning, Deep Learning, and Artificial Intelligence. Establishing a structured technique for real competency assessments is an early challenge. Therefore, this research develops and implements a structured evaluation process to assess student competencies in complex problem-solving scenarios. The study finds dimensional variation in student performance through statistical analysis of multivariate data from two engineering courses, demonstrating that each evaluation method measures different competencies. Key findings demonstrate that while traditional evaluation methods provide quantitative results, the newly proposed instruments offer a nuanced understanding of student abilities by capturing quantitative and qualitative data. This approach standardises the assessment process and lays the groundwork for developing intelligent tutoring systems to automate and personalise learning. This method may lead to computer-assisted instruction to adapt educational technology for engineering complex problem-solving and other skills. It provides a solid foundation for personalised learning technology assessment methods. © 2024 The Author(s). Published by Informa UK Limited, trading as Taylor & Francis Group.","Assessment & Testing; authentic assessment; competency-based education; Educational innovation; Engineering Education; engineering higher education; Higher Education; personalised learning technologies","","C.L. Garay-Rondero; School of Engineering and Sciences, Tecnologico de Monterrey, Monterrey, Mexico; email: clgaray@tec.mx","","Taylor and Francis Ltd.","2331186X","","","","English","Cogent Educ.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85202967218"
"Cabrera-Solano P.; Ochoa-Cueva C.; Castillo-Cuesta L.","Cabrera-Solano, Paola (57214727571); Ochoa-Cueva, Cesar (56239800900); Castillo-Cuesta, Luz (56239677000)","57214727571; 56239800900; 56239677000","Enhancing EFL Higher Education through Fliki Videos: An Artificial Intelligence Implementation Approach","2025","World Journal of English Language","15","1","","424","433","5","10.5430/wjel.v15n1p424","https://www.scopus.com/pages/publications/85211995793?origin=resultslist","Department of Philosophy, Arts and Humanities, Universidad Tecnica Particular de Loja, Loja, Ecuador","Cabrera-Solano P., Department of Philosophy, Arts and Humanities, Universidad Tecnica Particular de Loja, Loja, Ecuador; Ochoa-Cueva C.; Castillo-Cuesta L.","Artificial Intelligence (AI) presents different opportunities for enhancing personalized learning experiences within the field of English as a Foreign Language (EFL) education. Its capacity for adaptive learning is particularly noteworthy, as it caters to individual students’ unique styles. In this context, the purpose of this study was to investigate the impact of Fliki AI videos on EFL teaching and learning and determine students’ perceptions of their use. The participants included 84 pre-service EFL teachers at a private university in Ecuador. A mixed-method design was used to analyze quantitative and qualitative data. Instruments were diagnostic and perception questionnaires and an interview. The main findings revealed that Fliki AI videos effectively enhanced student engagement and comprehension. Additionally, participants reported improved understanding of linguistic and pedagogical concepts through clear explanations and visual representations provided by the videos. The adaptability of Fliki AI videos allowed for personalized learning experiences, while supplementary activities reinforced learning outcomes. Further research could explore optimal design features and instructional strategies for maximizing the effectiveness of these resources. © 2025 Sciedu Press. All rights reserved.","artificial intelligence; EFL teaching; Fliki; videos","","P. Cabrera-Solano; Department of Philosophy, Arts and Humanities, Universidad Tecnica Particular de Loja, Loja, Ecuador; email: pacabrera@utpl.edu.ec","","Sciedu Press","19250703","","","","English","World J. English Lang.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85211995793"
"Ruiz L.K.F.T.; da Silva Melo Malaquias T.; da Silva G.B., Jr.; Cunha I.C.K.O.; Pimenta R.A.; Dadalt P.A.; Haddad M.D.C.F.L.","Ruiz, Lailla Ketly Ferreira Tiradentes (59947437600); da Silva Melo Malaquias, Tatiana (57202245682); da Silva, Geraldo Bezerra (55666102500); Cunha, Isabel Cristina Kowal Olm (7003935865); Pimenta, Rosangela Aparecida (15053034100); Dadalt, Patrícia Aroni (59338805200); Haddad, Maria do Carmo Fernandez Lourenço (35219841900)","59947437600; 57202245682; 55666102500; 7003935865; 15053034100; 59338805200; 35219841900","Care provided by humanoid robots: a scoping review; [Cuidados assistenciais desempenhados por robôs humanoides: scoping review]; [Cuidados asistenciales prestados por robots humanoides: revisión de alcance]","2025","Investigacion y Educacion en Enfermeria","43","1","e11","","","1","10.17533/udea.iee.v43n1e11","https://www.scopus.com/pages/publications/105005816798?origin=resultslist","State University of Londrina (UEL), Paraná, Londrina, Brazil; State University of Centro Oeste (UNICENTRO), Paraná, Guarapuava, Brazil; University of Fortaleza (UNIFOR), Ceará, Fortaleza, Brazil; Federal University of São Paulo (UNIFESP), São Paulo, São Paulo, Brazil","Ruiz L.K.F.T., State University of Londrina (UEL), Paraná, Londrina, Brazil; da Silva Melo Malaquias T., State University of Centro Oeste (UNICENTRO), Paraná, Guarapuava, Brazil; da Silva G.B., Jr., University of Fortaleza (UNIFOR), Ceará, Fortaleza, Brazil; Cunha I.C.K.O., Federal University of São Paulo (UNIFESP), São Paulo, São Paulo, Brazil; Pimenta R.A., State University of Londrina (UEL), Paraná, Londrina, Brazil; Dadalt P.A., State University of Londrina (UEL), Paraná, Londrina, Brazil; Haddad M.D.C.F.L., State University of Londrina (UEL), Paraná, Londrina, Brazil","Objective. To identify the evidence in the literature regarding the care provided to the population by humanoid robots. Methods. A scoping review based on the guidelines established by the Joanna Briggs Institute. The Preferred Reporting Items for Scoping Review (PRISMA-ScR) checklist was followed. The review protocol was registered on the Open Science Framework under the number osf. io/6ur93. The search was conducted in November 2023 in the following databases: PubMed®, EMBASE®, LILACS, Web of Science, Scopus®, and CINAHL, as well as in the gray literature, including Google Scholar and the Catalog of Theses and Dissertations of the Coordination for the Improvement of Higher Education Personnel (CAPES), using the search strategy: “humanoid robot*” AND “patient*”. Results. A total of 27 articles were analyzed. Most of the identified studies were conducted in hospital settings (n=13), with a primary focus on adults (n=10) and children (n=8). The countries with the highest number of publications were Japan (n=6), Canada (n=5), and France (n=4). Three areas of care were identified: social interaction (n=17), physical rehabilitation (n=7), and dissemination of health information (n=3). Additionally, only four studies involved collaboration between humanoid robots and healthcare providers. Conclusion. Despite the increasing use of humanoid robots in healthcare, it remains essential to enhance their integration with professionals in the field. Social interaction highlighted the need to improve patient care, underscoring the importance of aligning the capabilities of these robots with the expertise of healthcare providers. Accordingly, future research should focus on developing strategies that ensure this technology not only assists but also optimizes the quality of care and strengthens interdisciplinary collaboration. © (2025), (Facultad de Enfermeria de la Universidad de Antioquia). All rights reserved.","ambulatory care; artificial intelligence; assistência ambulatorial; assistência ao paciente; assistência hospitalar; atención al paciente; atención ambulatoria; atención hospitalaria; hospital care; inteligencia artificial; inteligência artificial; patient care; revisión; revisão de escopo; Robotics; Robótica; robôs humanoides; scoping review","Adult; Child; Delivery of Health Care; Humans; Robotics; Social Interaction; adult; child; health care delivery; human; organization and management; robotics; social interaction","L.K.F.T. Ruiz; State University of Londrina (UEL), Londrina, Paraná, Brazil; email: laillaftruiz@gmail.com","","Facultad de Enfermeria de la Universidad de Antioquia","01205307","","","40382007","English","Invest. Educ. Enferm.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105005816798"
"Tariq R.; Ramírez-Montoya M.S.; Awotwe T.W.; Fernández-Castro V.; Martínez-Reyes M.","Tariq, Rasikh (57200243861); Ramírez-Montoya, M.S. (54911980200); Awotwe, Tabbi Wilberforce (58043320200); Fernández-Castro, V. (60111950100); Martínez-Reyes, M. (52964302000)","57200243861; 54911980200; 58043320200; 60111950100; 52964302000","User Experience Measurement in Design-Based Research on Online Educational Platforms: Contextualization of Real-World Environments Within Sustainable Development Goals for Computational Thinking","2025","Journal of Advanced Academics","36","4 Special Issue on Artificial Intelligence in Advanced Academics","","816","851","0","10.1177/1932202X251367095","https://www.scopus.com/pages/publications/105016855050?origin=resultslist","Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; Benemerita Escuela Normal de Coahuila, Mexico/University of Desing, Innovation and Technology (UDIT), Madrid, Spain; Department of Engineering, King's Collegue London, London, United Kingdom; Universidad Autónoma del Estado de México, Centro Universitario Valle de Chalco, Mexico","Tariq R., Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; Ramírez-Montoya M.S., Benemerita Escuela Normal de Coahuila, Mexico/University of Desing, Innovation and Technology (UDIT), Madrid, Spain; Awotwe T.W., Department of Engineering, King's Collegue London, London, United Kingdom; Fernández-Castro V., Institute for the Future of Education, Tecnologico de Monterrey, Monterrey, Mexico; Martínez-Reyes M., Universidad Autónoma del Estado de México, Centro Universitario Valle de Chalco, Mexico","The importance of User Experience Measurement allows understanding how experiences can be optimized to meet functional and emotional needs, complemented with Design-Based Research to scale the redesign of educational platforms, four online educational platforms presented are powered by Artificial Intelligence and educational data mining to offer a tailored learning experience, combining computational thinking with Sustainable Development Goals. We present the analysis of responses of 1,573 users, which yield elements of improvement that will be implemented in the redesign. To measure User Experience of the platform, a nonexperimental quantitative analysis was carried out, using a Feedback survey based on a Likert-scale instrument, measuring perceptions: Emotional impact, Usability, and Satisfaction. The transcendence of this proposal demonstrates good practice in documenting experiences with the redesign of educational platforms that incorporate Artificial Intelligence and data mining, thereby opening a gap in Research on the quality of assessments and scaling of this approach. © The Author(s) 2025. This article is distributed under the terms of the Creative Commons Attribution-NonCommercial 4.0 License (https://creativecommons.org/licenses/by-nc/4.0/) which permits non-commercial use, reproduction and distribution of the work without further permission provided the original work is attributed as specified on the SAGE and Open Access page (https://us.sagepub.com/en-us/nam/open-access-at-sage).","artificial intelligence; computational thinking; educational innovation; higher education; open educational platforms","","M. Martínez-Reyes; Universidad Autónoma del Estado de México, Centro Universitario Valle de Chalco, Mexico; email: mmartinezr@uaemex.mx","","SAGE Publications Ltd","1932202X","","","","English","J. Adv. Acad.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105016855050"
"Zapana E.A.; Machaca J.E.C.; Garcia A.J.M.; Apaza M.L.P.","Zapana, Eber Apaza (59132030400); Machaca, Jesús Esteban Castillo (58001944200); Garcia, Alioska Jessica Martinez (58566082800); Apaza, Mao Lusin Payehuanca (59209897000)","59132030400; 58001944200; 58566082800; 59209897000","IN-PERSON AND HYBRID LEARNING IN THE TRAINING OF PROFESSIONALS IN HIGHER EDUCATION. AN ICT-CENTRIC APPROACH; [APRENDIZAJE PRESENCIAL E HIBRIDO EN LA FORMACIÓN DE PROFESIONALES EN LA EDUCACIÓN SUPERIOR. UN ENFOQUE CENTRADO EN TICS]; [APRENDIZAGEM PRESENCIAL E HÍBRIDA NA FORMAÇÃO DE PROFISSIONAIS NO ENSINO SUPERIOR: UMA ABORDAGEM CENTRADA EM TICS]","2024","Revista de Gestao Social e Ambiental ","18","4","e07081","","","3","10.24857/rgsa.v18n4-140","https://www.scopus.com/pages/publications/85197917162?origin=resultslist","Universidad Nacional Del Altiplano, Puno, Peru; Universidad Andina Nestor Caceres Velasquez Juliaca, Peru","Zapana E.A., Universidad Nacional Del Altiplano, Puno, Peru; Machaca J.E.C., Universidad Andina Nestor Caceres Velasquez Juliaca, Peru; Garcia A.J.M., Universidad Nacional Del Altiplano, Puno, Peru; Apaza M.L.P., Universidad Nacional Del Altiplano, Puno, Peru","Objective: Creating more adaptive, dynamic, and student-centered learning environments that can meet the diverse needs and learning styles of students in the digital age. Methods: This study employs a qualitative approach through documentary research, enabling us to understand the integration of virtual inquiry into the classroom as a meaningful process for instructing university students. The study population consists of research conducted between 2018 and 2024, with the sample selected based on eligibility criteria. Inclusion criteria involve specific databases such as Scielo, Redalyc, Dialnet, Google Scholar, and Scopus. Conversely, articles lacking categories such as virtual reality, teaching, and university education are excluded. Result: The documentary review matrix analyzes the work of fifteen prominent authors in the field of face-to-face and blended learning in higher education, focusing on information and communication technologies (ICT). Each entry provides the title of the work, the author's name, the year of publication, a brief summary, and the Digital Object Identifier (DOI) to access the full text. These works cover a wide range of topics, from the theoretical foundations of instructional design to the practical application of educational technologies in face-to-face and hybrid environments. The diversity of theoretical and methodological approaches is highlighted, as well as the presence of recognized authors in the field. Additionally, special attention is given to emerging trends and innovative technologies, such as virtual reality, artificial intelligence, and mobile learning. In summary, these resources offer a comprehensive and up-to-date overview of the state of the art in the field, being highly valuable for educators, instructional designers, and researchers interested in advancing their understanding and application of these topics. © 2024 ANPAD - Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao. All rights reserved.","Adaptive learning; Artificial intelligence; Information and Communication Technologies (ICT); Instructional design; Mobile learning; Virtual reality","","","","ANPAD - Associacao Nacional de Pos-Graduacao e Pesquisa em Administracao","1981982X","","","","English","Rev. Gestao Soc. Ambient.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85197917162"
"Cruz Romero R.; Silva-Payró M.P.; Mena-De la Rosa R.","Cruz Romero, Rubicel (59355512900); Silva-Payró, Martha Patricia (57226060736); Mena-De la Rosa, Rafael (59354629400)","59355512900; 57226060736; 59354629400","Level of adoption and understanding of artificial intelligence assistants by information technology students at a university in southeastern Mexico; [Nivel de adopción y comprensión de asistentes de inteligencia artificial por estudiantes de tecnologías de la información en una universidad del sureste de México]","2024","European Public and Social Innovation Review","9","","","","","2","10.31637/epsir-2024-765","https://www.scopus.com/pages/publications/85205692223?origin=resultslist","Universidad Juárez Autónoma de Tabasco, Mexico","Cruz Romero R., Universidad Juárez Autónoma de Tabasco, Mexico; Silva-Payró M.P., Universidad Juárez Autónoma de Tabasco, Mexico; Mena-De la Rosa R., Universidad Juárez Autónoma de Tabasco, Mexico","Introduction: In recent times, artificial intelligence (AI) has re-emerged as a key tool in the new era of abundant information and dizzying data generation. This stage, known as the fourth revolution, brings together technologies that take advantage of advances in computing to enable real-time Abstract: Introduction: Artificial Intelligence (AI) has recently re-emerged as a critical tool in the new era of abundant information and dizzying data generation. This stage, called the fourth revolution, brings together technologies that take advantage of advances in computing to enable real-time and contextual actions, hence the importance of studying the impact that Virtual Assistants with AI have and will have in the educational field. Methodology: This research has focused on quantitative analysis to answer the questions and collect measurable data. Results: The results reflect a diverse student community that is predominantly open to adopting AI-enabled virtual assistants. In light of the results, AI has great potential in higher education. Discussion: However, addressing the ethical and practical challenges identified is vital to ensure that its implementation is effective and beneficial. This involves providing appropriate training and developing clear regulations. Conclusions: This new development poses a significant challenge for universities, as it is already a reality, and its informal adoption may negatively affect the training of future IT professionals. © 2024, HISIN (History of Information Systems). All rights reserved.","Computer assisted instruction; Data analysis; Higher education; Perception; Quantitative analysis; Scientific approach; Surveys; Teacher","","M.P. Silva-Payró; Universidad Juárez Autónoma de Tabasco, Mexico; email: martha.silva@ujat.mx","","HISIN (History of Information Systems)","25299824","","","","Spanish","Eur. public soc. innov. rev.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85205692223"
